ORF	SGD	GENENAME	logFC	logCPM	F	PValue	FDR
YKR080W	S000001788	MTD1	0.22	5.39	2.29	0.143	0.282
YPL047W	S000005968	SGF11	0.22	3.02	0.997	0.327	0.506
YLR148W	S000004138	PEP3	0.22	5.15	1.66	0.211	0.37
YLR062C	S000004052	BUD28	0.22	0.588	0.136	0.716	0.826
YML075C	S000004540	HMG1	0.22	9.24	3.84	0.0613	0.155
YNL088W	S000005032	TOP2	0.22	5.76	3.17	0.0872	0.199
YEL023C	S000000749	NA	0.22	3.5	1.31	0.263	0.432
YOR322C	S000005849	LDB19	0.22	6.33	5.12	0.0325	0.0957
YKL109W	S000001592	HAP4	0.22	7.24	2.96	0.0977	0.214
YDR257C	S000002665	RKM4	0.22	5.63	2.84	0.104	0.225
YLR130C	S000004120	ZRT2	0.22	6.96	3.61	0.0692	0.168
YPL131W	S000006052	RPL5	0.22	11.9	3.02	0.0945	0.209
YLR072W	S000004062	LAM6	0.22	5.32	2.83	0.105	0.226
YKL006W	S000001489	RPL14A	0.22	10.2	1.86	0.185	0.338
YDL143W	S000002302	CCT4	0.22	8.33	5.97	0.022	0.0709
YBR058C-A	S000007521	TSC3	0.22	4.56	2.08	0.162	0.308
YDL017W	S000002175	CDC7	0.22	3.3	1.45	0.24	0.405
YDR198C	S000002606	RKM2	0.22	4.56	3.3	0.0815	0.189
YAL058W	S000000054	CNE1	0.22	4.7	2.34	0.138	0.276
YBR271W	S000000475	EFM2	0.22	5.05	1.55	0.224	0.387
YHR021C	S000001063	RPS27B	0.22	9.86	2.02	0.168	0.315
YML094W	S000004559	GIM5	0.22	4.51	2.45	0.13	0.263
YJR135C	S000003896	MCM22	0.22	2.39	0.982	0.331	0.51
YOR257W	S000005783	CDC31	0.22	4.01	1.1	0.305	0.479
YIL102C-A	S000113587	NA	0.22	2.08	0.669	0.421	0.595
YDR004W	S000002411	RAD57	0.22	4.76	2.82	0.105	0.227
YCR095C	S000000691	OCA4	0.22	4.44	2.08	0.161	0.307
YPR101W	S000006305	SNT309	0.22	3.6	0.84	0.368	0.547
YGL252C	S000003221	RTG2	0.22	6.52	4.55	0.043	0.118
YBR096W	S000000300	NA	0.22	6.43	3.73	0.0648	0.161
YFR037C	S000001933	RSC8	0.22	6.26	2.56	0.122	0.252
YHR049W	S000001091	FSH1	0.22	6.34	4.7	0.0398	0.111
YMR060C	S000004664	SAM37	0.21	4.81	1.89	0.181	0.332
YDR362C	S000002770	TFC6	0.21	4.81	3	0.0956	0.21
YDL231C	S000002390	BRE4	0.21	7.58	5.82	0.0235	0.0752
YHR033W	S000001075	NA	0.21	0.453	0.192	0.665	0.788
YLR060W	S000004050	FRS1	0.21	8.96	4.13	0.0529	0.138
YJL168C	S000003704	SET2	0.21	5.84	3.23	0.0845	0.195
YBR215W	S000000419	HPC2	0.21	4.09	1.17	0.29	0.462
YKL050C	S000001533	NA	0.21	2.57	0.554	0.463	0.63
YMR207C	S000004820	HFA1	0.21	5.43	2.72	0.112	0.235
YGL147C	S000003115	RPL9A	0.21	10.2	2.53	0.124	0.255
YPL228W	S000006149	CET1	0.21	5.21	2.3	0.142	0.28
YJL041W	S000003577	NSP1	0.21	7.06	3.28	0.0823	0.19
YLR364W	S000004356	GRX8	0.21	1.43	0.322	0.575	0.724
YLR036C	S000004026	NA	0.21	1.87	0.358	0.555	0.707
YKR053C	S000001761	YSR3	0.21	2.71	0.918	0.347	0.525
YIL068C	S000001330	SEC6	0.21	5.31	2.81	0.106	0.227
YNL246W	S000005190	VPS75	0.21	5.16	2.78	0.108	0.23
YGL257C	S000003226	MNT2	0.21	6.01	4.3	0.0486	0.13
YMR301C	S000004916	ATM1	0.21	5.38	3.18	0.0867	0.198
YIL138C	S000001400	TPM2	0.21	5.14	1.96	0.174	0.322
YGR134W	S000003366	CAF130	0.21	5.83	3.61	0.069	0.168
YHL040C	S000001032	ARN1	0.21	6.73	1.94	0.177	0.326
YLR452C	S000004444	SST2	0.21	3.74	1.6	0.217	0.378
YGL021W	S000002989	ALK1	0.21	5.52	3.06	0.0927	0.207
YLR398C	S000004390	SKI2	0.21	6.38	3.82	0.0618	0.155
YNL252C	S000005196	MRPL17	0.21	5.4	1.96	0.174	0.322
YHR072W-A	S000007455	NOP10	0.21	5.74	1.06	0.315	0.492
YDR338C	S000002746	NA	0.21	4.85	2.53	0.124	0.255
YPL241C	S000006162	CIN2	0.21	3.38	1.21	0.282	0.455
YGR216C	S000003448	GPI1	0.21	6.21	2.88	0.102	0.222
YMR222C	S000004835	FSH2	0.21	4.65	2	0.169	0.316
YOR145C	S000005671	PNO1	0.21	6.74	2.04	0.165	0.312
YNL292W	S000005236	PUS4	0.21	5.31	2.13	0.157	0.3
YDR118W	S000002525	APC4	0.21	4.36	1.84	0.187	0.34
YKL134C	S000001617	OCT1	0.21	4.73	1.76	0.196	0.351
YCL014W	S000000520	BUD3	0.21	5.36	2.4	0.134	0.269
YBR160W	S000000364	CDC28	0.21	5.49	2.3	0.142	0.281
YHL009C	S000001001	YAP3	0.21	3.23	1.21	0.281	0.453
YOL102C	S000005462	TPT1	0.21	4.61	2.25	0.146	0.286
YEL004W	S000000730	YEA4	0.21	4.42	1.83	0.188	0.341
YFL049W	S000001845	SWP82	0.21	5.13	2.44	0.131	0.264
YJR024C	S000003785	MDE1	0.21	6.02	3.07	0.0922	0.206
YPL169C	S000006090	MEX67	0.21	6.95	3.46	0.0748	0.178
YNL201C	S000005145	PSY2	0.21	5.51	3.05	0.0928	0.207
YDR459C	S000002867	PFA5	0.21	4.66	1.74	0.199	0.355
YLR181C	S000004171	VTA1	0.21	4.52	1.66	0.21	0.369
YPL214C	S000006135	THI6	0.21	4.67	3.06	0.0927	0.207
YGL226C-A	S000003194	OST5	0.21	5.37	1.78	0.194	0.348
YDL102W	S000002260	POL3	0.21	5.68	2.78	0.108	0.23
YER007W	S000000809	PAC2	0.21	3.16	1	0.326	0.505
YJR093C	S000003853	FIP1	0.2	4.79	2.47	0.128	0.261
YLR146W-A	S000113566	NA	0.2	1.62	0.243	0.626	0.761
YDL033C	S000002191	SLM3	0.2	4.11	1.48	0.235	0.4
YGL103W	S000003071	RPL28	0.2	10.8	2.53	0.124	0.255
YJL119C	S000003655	NA	0.2	-0.0206	0.147	0.704	0.818
YDL167C	S000002326	NRP1	0.2	6.12	2.22	0.148	0.289
YKL106W	S000001589	AAT1	0.2	6.13	3.92	0.0589	0.15
YGR202C	S000003434	PCT1	0.2	5.79	2.11	0.159	0.303
YML031W	S000004493	NDC1	0.2	6.9	5.07	0.0333	0.0974
YDL073W	S000002231	AHK1	0.2	6.26	3.99	0.0568	0.146
